,keyword,text,lat,long,census,comp,category,CensusTract,LILATracts_1And10
3705,panera bread,"Panera Bread is hiring in Columbia, MD! Read about our latest Cafe Management job opening via the link in our bio: Manager #parttime #Restaurant",39.2153109,-76.8612159,24027605402,0.0,fast_food,24027605402,0
3706,starbucks,"I'm at Starbucks in Portland, OR ",45.52644328,-122.68308821,41051005100,0.0,fast_food,41051005100,0
3707,starbucks,"See our latest #Portland, OR #Retail job opportunity and click the link in our bio to apply: shift supervisor - Store# 49976, NW 3RD &amp; DAVIS - OLD TOWN at Starbucks",45.524449,-122.6732762,41051005100,0.4215,fast_food,41051005100,0
3708,starbucks,"I'm at Starbucks in Portland, OR ",45.52644328,-122.68308821,41051005100,0.0,fast_food,41051005100,0
3709,starbucks,"Can you recommend anyone for this #Retail job in #Chicago, IL? Click the link in our bio to see it and more. shift supervisor - Store# 23421, 328 NORTH DESPLAINES at Starbucks",41.8878102,-87.6446809,17031280100,0.3612,fast_food,17031280100,0
3710,starbucks,"Want to land a job like ""store designer, Store Development &amp; Design - Chicago, IL"" at Starbucks? Applicant tracking systems look for specific keywords. Use the right keywords and get your resume in front of the hiring manager. #Art #Chicago, IL",41.8846961,-87.64235190000001,17031280100,0.4215,fast_food,17031280100,0
3711,starbucks,"Can you recommend anyone for this #Retail job in #Chicago, IL? Click the link in our bio to see it and more. shift supervisor - Store# 23421, 328 NORTH DESPLAINES at Starbucks",41.887810200000004,-87.6446809,17031280100,0.3612,fast_food,17031280100,0
3712,starbucks,"Don't submit then quit. Apply for jobs like ""barista - Store# 19091, OLIO ROAD AND OLIVIA WAY"" at Starbucks, then look for people you might know at the company. You might be able to reach out to HR directly. Ready to apply? Check out the link in our bio. #Retail #Fishers, IN",39.9893714,-85.92135520000002,18057110808,0.6249,fast_food,18057110808,0
3713,starbucks,"Don't submit then quit. Apply for jobs like ""barista - Store# 19091, OLIO ROAD AND OLIVIA WAY"" at Starbucks, then look for people you might know at the company. You might be able to reach out to HR directly. Ready to apply? Check out the link in our bio. #Retail #Fishers, IN",39.989371399999996,-85.92135520000001,18057110808,0.6249,fast_food,18057110808,0
3714,starbucks,"We're hiring in #Washington, DC! Click the link in our bio to apply to this job and more: shift supervisor - Store# 07762, NATIONAL ZOO at Starbucks #Retail",38.9298279,-77.05583759999998,11001000502,0.0,fast_food,11001000502,0
3715,starbucks,"We're hiring in #Washington, DC! Click the link in our bio to apply to this job and more: shift supervisor - Store# 07762, NATIONAL ZOO at Starbucks #Retail",38.9298279,-77.05583759999999,11001000502,0.0,fast_food,11001000502,0
3716,starbucks,"We're hiring in #Skokie, IL! Click the link in our bio to apply to this job and more: shift supervisor - Store# 02260, OLD ORCHARD at Starbucks #Retail",42.0595722,-87.74902800000002,17031806900,0.0,fast_food,17031806900,0
3717,starbucks,"Want to land a job like ""barista - Store# 02260, OLD ORCHARD"" at Starbucks? Applicant tracking systems look for specific keywords. Use the right keywords and get your resume in front of the hiring manager. #Retail #Skokie, IL",42.0595722,-87.74902800000001,17031806900,0.4215,fast_food,17031806900,0
3718,starbucks,"We're hiring in #Skokie, IL! Click the link in our bio to apply to this job and more: shift supervisor - Store# 02260, OLD ORCHARD at Starbucks #Retail",42.0595722,-87.74902800000001,17031806900,0.0,fast_food,17031806900,0
3719,starbucks,Ran into gogopugs this morning and it made my day!  @ Starbucks ,29.92624633,-90.08272469,22071009000,0.0,fast_food,22071009000,0
3720,starbucks,"Join the Starbucks team! See our latest #Retail job openings, including ""shift supervisor - Store# 06314, MAGAZINE &amp; WASHINGTON"", via the link in our bio. #NewOrleans, LA",29.9262108,-90.0830198,22071009000,0.3595,fast_food,22071009000,0
3721,starbucks,Ran into gogopugs this morning and it made my day!  @ Starbucks ,29.92624633,-90.08272469,22071009000,0.0,fast_food,22071009000,0
